DATE;EVENT
01-14;Journée mondiale de la logique
01-24;Journée internationale de l'éducation
01-24;Journée mondiale de la culture africaine et afro-descendante
01-25;Journée internationale des femmes dans le multilatéralisme
01-27;Journée internationale dédiée à la mémoire des victimes de l'Holocauste
02-11;Journée internationale des femmes et des filles de science
02-13;Journée mondiale de la radio
02-21;Journée internationale de la langue maternelle
03-04;Journée mondiale de l'ingénierie pour le développement durable
03-08;Journée internationale des femmes
03-04;Journée internationale des mathématiques
03-19;Journée internationale de l'apprentissage numérique
03-20;Journée internationale de la francophonie
03-21;Journée internationale pour l'élimination de la discrimination raciale
03-21;Journée mondiale des glaciers
03-21;Journée internationale de Nowruz
03-21;Journée mondiale de la poésie
03-22;Journée mondiale de l'eau
04-05;Journée internationale de la conscience
04-06;Journée internationale du sport au service du développement et de la paix
04-07;Journée internationale de réflexion sur le génocide des Tutsis au Rwanda en 1994
04-15;Journée mondiale de l'art
04-23;Journée mondiale du livre et du droit d'auteur
04-30;Journée internationale du jazz
05-03;Journée mondiale de la liberté de la presse
05-05;Journée mondiale de la langue portugaise
05-05;Journée du patrimoine mondial africain
05-16;Journée internationale du vivre-ensemble en paix
05-16;Journée internationale de la lumière
05-20;Journée mondiale de la métrologie
05-21;Journée mondiale de la diversité culturelle pour le dialogue et le développement
05-22;Journée internationale de la diversité biologique
06-05;Journée mondiale de l'environnement
06-08;Journée mondiale de l'océan
06-17;Journée mondiale de lutte contre la désertification et la sécheresse
07-07;Journée de la langue Kiswahili
07-18;Journée internationale Nelson Mandela
07-26;Journée internationale pour la conservation de l'écosystème des mangroves
08-09;Journée internationale des peuples autochtones
08-12;Journée internationale de la jeunesse
08-23;Journée internationale du souvenir de la traite négrière et de son abolition
09-08;Journée internationale de l'alphabétisation
09-09;Journée internationale pour la protection de l'éducation contre les attaques
09-15;Journée internationale de la démocratie
09-20;Journée internationale du sport universitaire
09-21;Journée internationale de la paix
09-28;Journée internationale de l'accès universel à l'information
10-05;Journée mondiale des enseignant(e)s
10-06;Journée internationale de la géodiversité
10-11;Journée internationale de la fille
10-13;Journée internationale de la prévention des catastrophes
10-17;Journée internationale du patrimoine culturel immatériel
10-17;Journée internationale pour l'élimination de la pauvreté
10-27;Journée mondiale du patrimoine audiovisuel
10-29;Journée mondiale du codage
11-02;Journée internationale de la fin de l'impunité pour les crimes commis contre les journalistes
11-03;Journée internationale des réserves de biosphère
11-05;Journée mondiale de la langue romani
11-05;Journée mondiale de sensibilisation aux tsunamis
11-06;Journée internationale contre la violence et le harcèlement en milieu scolaire, y compris le cyber-harcèlement
11-10;Journée mondiale de la science au service de la paix et du développement
11-14;Journée internationale contre le trafic illicite de biens culturels
11-16;Journée internationale de la tolérance
11-18;Journée internationale de l'art islamique
11-20;Journée mondiale de la philosophie
11-25;Journée internationale pour l'élimination de la violence à l'égard des femmes
11-26;Journée mondiale de l'olivier
11-29;Journée internationale de solidarité avec le peuple palestinien
12-01;Journée mondiale de lutte contre le sida
12-02;Journée mondiale des futurs
12-03;Journée internationale des personnes handicapées
12-10;Journée des droits de l'homme
12-18;Journée internationale des migrants
12-18;Journée mondiale de la langue arabe
